,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,decay_type,growth_form,,,,
920,2048,Herpotrichiellaceae_sp,UDB03383204,SH1047125.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae_gen_Incertae_sedis,Herpotrichiellaceae_sp,Herpotrichiellaceae_sp_SH1047125.09FU,NA,NA,NA,NA,,,,
921,2049,Glomus_tetrastratosum,UDB0593586,SH1003586.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_tetrastratosum,Glomus_tetrastratosum_SH1003586.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
922,2050,Glomus_sp,UDB03151525,SH0957394.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,Glomus_sp_SH0957394.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
923,2051,Glomeraceae_sp,UDB0452225,SH1003556.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH1003556.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
924,2052,Glomeraceae_sp,UDB040666,SH0907869.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0907869.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
925,2053,Glomeraceae_sp,UDB03126082,SH0957052.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0957052.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
926,2054,Glomeraceae_sp,AM992821,SH0908010.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0908010.09FU,arbuscular_mycorrhizal,NA,NA,NA,,,,
927,2056,Fusarium_sp,UDB02219034,SH1079669.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp,Fusarium_sp_SH1079669.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
928,2057,Fusarium_oxysporum,KM253762,SH1060314.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH1060314.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
929,2058,Fusarium_burgessii,MH863590,SH3194006.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_burgessii,Fusarium_burgessii_SH3194006.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
930,2059,Funneliformis_sp,AB520476,SH1274950.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis_sp,Funneliformis_sp_SH1274950.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
931,2060,Fungi_sp,UDB0559211,SH1172457.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1172457.09FU,NA,NA,NA,NA,,,,
932,2062,Fungi_sp,JX347027,SH0999088.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH0999088.09FU,NA,NA,NA,NA,,,,
933,2073,Entoloma_sp,UDB0577692,SH1110144.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sp,Entoloma_sp_SH1110144.09FU,soil_saprotroph,unspecified_symbiotroph,roots,soil,filamentous_mycelium,,,
934,2075,Dioszegia_sp,UDB05236004,SH1056065.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia_sp,Dioszegia_sp_SH1056065.09FU,litter_saprotroph,NA,leaf/fruit/seed,yeast,,,,
935,2076,Curvularia_canadensis,MN688804,SH1224288.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_canadensis,Curvularia_canadensis_SH1224288.09FU,plant_pathogen,litter_saprotroph,wood,leaf/fruit/seed,roots,algal_material,filamentous_mycelium,
936,2086,Cladosporium_sp,UDB0750550,SH1161647.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sp,Cladosporium_sp_SH1161647.09FU,litter_saprotroph,plant_pathogen,wood,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium
937,2100,Chaetothyriales_sp,UDB0259675,SH1047123.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Chaetothyriales_gen_Incertae_sedis,Chaetothyriales_sp,Chaetothyriales_sp_SH1047123.09FU,NA,NA,NA,NA,,,,
938,2101,Chaetosphaeriaceae_sp,UDB03203086,SH0979762.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeriaceae_gen_Incertae_sedis,Chaetosphaeriaceae_sp,Chaetosphaeriaceae_sp_SH0979762.09FU,NA,NA,NA,NA,,,,
939,2102,Chaetomium_sp,UDB01742373,SH1240639.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_sp,Chaetomium_sp_SH1240639.09FU,litter_saprotroph,foliar_endophyte,wood,leaf/fruit/seed,soil,dung,filamentous_mycelium,
940,2103,Chaetomiaceae_sp,UDB03428049,SH0881521.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomiaceae_gen_Incertae_sedis,Chaetomiaceae_sp,Chaetomiaceae_sp_SH0881521.09FU,NA,NA,NA,NA,,,,
941,2104,Chaetomiaceae_sp,HQ637374,SH0881790.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomiaceae_gen_Incertae_sedis,Chaetomiaceae_sp,Chaetomiaceae_sp_SH0881790.09FU,NA,NA,NA,NA,,,,
942,2120,Aphelidiomycota_sp,UDB01171018,SH0902263.09FU,reps,Fungi,Aphelidiomycota,Aphelidiomycota_cls_Incertae_sedis,Aphelidiomycota_ord_Incertae_sedis,Aphelidiomycota_fam_Incertae_sedis,Aphelidiomycota_gen_Incertae_sedis,Aphelidiomycota_sp,Aphelidiomycota_sp_SH0902263.09FU,NA,NA,NA,NA,,,,
943,2123,Actinomucor_elegans,JN205828,SH1002491.09FU,refs,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Actinomucor,Actinomucor_elegans,Actinomucor_elegans_SH1002491.09FU,soil_saprotroph,animal_parasite,soil,animal_material,filamentous_mycelium,,,
944,2125,Schizothecium_sp,UDB06574207,SH0965520.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_sp,Schizothecium_sp_SH0965520.09FU,dung_saprotroph,NA,dung,filamentous_mycelium,,,,
945,2126,Agaricomycotina_sp,UDB0203850,SH1262733.09FU,reps,Fungi,Basidiomycota,Agaricomycotina_cls_Incertae_sedis,Agaricomycotina_ord_Incertae_sedis,Agaricomycotina_fam_Incertae_sedis,Agaricomycotina_gen_Incertae_sedis,Agaricomycotina_sp,Agaricomycotina_sp_SH1262733.09FU,NA,NA,NA,NA,,,,
946,2129,Fungi_sp,UDB02140097,SH0980536.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH0980536.09FU,NA,NA,NA,NA,,,,
947,2130,Conocybe_crispa,KU931459,SH1222611.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_crispa,Conocybe_crispa_SH1222611.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
948,2131,Coniochaeta_sp,UDB04082746,SH0947659.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_sp,Coniochaeta_sp_SH0947659.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
949,2132,Acremonium_rutilum,AB540580,SH1072909.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_rutilum,Acremonium_rutilum_SH1072909.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
950,2133,Sordariales_sp,UDB07308488,SH0962282.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Sordariales_sp_SH0962282.09FU,NA,NA,NA,NA,,,,
951,2134,Scytalidium_sp,UDB06740646,SH1276431.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium_sp,Scytalidium_sp_SH1276431.09FU,wood_saprotroph,litter_saprotroph,wood,leaf/fruit/seed,soil,animal_material,filamentous_mycelium,
952,2137,Lobulomycetales_sp,UDB03107827,SH0954689.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH0954689.09FU,NA,NA,NA,NA,,,,
953,2139,Dothidotthia_symphoricarpi,MH863064,SH1010455.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dothidotthiaceae,Dothidotthia,Dothidotthia_symphoricarpi,Dothidotthia_symphoricarpi_SH1010455.09FU,plant_pathogen,wood_saprotroph,wood,leaf/fruit/seed,filamentous_mycelium,,,
954,2140,Clavulinaceae_sp,UDB03792936,SH1047050.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulinaceae_gen_Incertae_sedis,Clavulinaceae_sp,Clavulinaceae_sp_SH1047050.09FU,NA,NA,NA,NA,,,,
955,2143,Ascodesmidaceae_sp,UDB01337277,SH0978569.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Ascodesmidaceae_gen_Incertae_sedis,Ascodesmidaceae_sp,Ascodesmidaceae_sp_SH0978569.09FU,NA,NA,NA,NA,,,,
956,2144,Agaricomycetes_sp,UDB0920134,SH1172231.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,Agaricomycetes_sp_SH1172231.09FU,NA,NA,NA,NA,,,,
957,2147,Schizothecium_sp,UDB06569481,SH0965461.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_sp,Schizothecium_sp_SH0965461.09FU,dung_saprotroph,NA,dung,filamentous_mycelium,,,,
958,2148,Pyronemataceae_sp,UDB05838580,SH0968618.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronemataceae_gen_Incertae_sedis,Pyronemataceae_sp,Pyronemataceae_sp_SH0968618.09FU,NA,NA,NA,NA,,,,
959,2150,Pezizomycotina_sp,UDB04360495,SH1085103.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,Pezizomycotina_sp_SH1085103.09FU,NA,NA,NA,NA,,,,
960,2159,Conocybe_sp,UDB04134154,SH1182696.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_sp,Conocybe_sp_SH1182696.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
961,2165,Basidiomycota_sp,UDB0510182,SH1276656.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1276656.09FU,NA,NA,NA,NA,,,,
962,2166,Ascomycota_sp,UDB070671,SH0919089.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0919089.09FU,NA,NA,NA,NA,,,,
963,2167,Ascomycota_sp,UDB02987175,SH1278553.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1278553.09FU,NA,NA,NA,NA,,,,
964,2174,Tubeufiaceae_sp,UDB06801675,SH0973303.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufiaceae_gen_Incertae_sedis,Tubeufiaceae_sp,Tubeufiaceae_sp_SH0973303.09FU,NA,NA,NA,NA,,,,
965,2176,Tetracladium_sp,UDB05460356,SH1078711.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,Tetracladium_sp,Tetracladium_sp_SH1078711.09FU,litter_saprotroph,NA,leaf/fruit/seed,filamentous_mycelium,,,,
966,2177,Symmetrospora_coprosmae,AF314985,SH1003215.09FU,refs,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,Symmetrospora_coprosmae,Symmetrospora_coprosmae_SH1003215.09FU,litter_saprotroph,litter_saprotroph,leaf/fruit/seed,yeast,,,,
967,2183,Spirosphaera_cupreorufescens,EU543254,SH1268512.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Tricladiaceae,Spirosphaera,Spirosphaera_cupreorufescens,Spirosphaera_cupreorufescens_SH1268512.09FU,litter_saprotroph,NA,leaf/fruit/seed,filamentous_mycelium,,,,
968,2185,Sordariales_sp,UDB05105529,SH0939004.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Sordariales_sp_SH0939004.09FU,NA,NA,NA,NA,,,,
969,2189,Rozellomycota_sp,UDB06721539,SH1185394.09FU,reps,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp,Rozellomycota_sp_SH1185394.09FU,NA,NA,NA,NA,,,,
970,2195,Rhizophagus_irregularis,OL449408,SH0984997.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis_SH0984997.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
971,2196,Psathyrella_squamosa,DQ389687,SH1207634.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_squamosa,Psathyrella_squamosa_SH1207634.09FU,wood_saprotroph,litter_saprotroph,wood,leaf/fruit/seed,filamentous_mycelium,,,
972,2198,Pleosporales_sp,UDB0654371,SH0958234.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH0958234.09FU,NA,NA,NA,NA,,,,
973,2199,Pleosporales_sp,UDB05007498,SH0958199.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH0958199.09FU,NA,NA,NA,NA,,,,
974,2201,Phomatosporaceae_sp,UDB04576362,SH1074774.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Phomatosporales,Phomatosporaceae,Phomatosporaceae_gen_Incertae_sedis,Phomatosporaceae_sp,Phomatosporaceae_sp_SH1074774.09FU,NA,NA,NA,NA,,,,
975,2202,Paraphaeosphaeria_sporulosa,UDB03678145,SH1068216.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Paraphaeosphaeria_sporulosa,Paraphaeosphaeria_sporulosa_SH1068216.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
976,2203,Paraglomus_sp,MT765553,SH0930621.09FU,reps,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_sp,Paraglomus_sp_SH0930621.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
977,2207,Neonectria_lugdunensis,KM515893,SH2673818.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neonectria,Neonectria_lugdunensis,Neonectria_lugdunensis_SH2673818.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
978,2208,Murispora_kazachstanica,MZ996880,SH0969960.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora_kazachstanica,Murispora_kazachstanica_SH0969960.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
979,2209,Mrakia_montana,MT347765,SH1071203.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia_montana,Mrakia_montana_SH1071203.09FU,unspecified_saprotroph,NA,NA,dimorphic_yeast,,,,
980,2211,Mortierella_antarctica,HQ630347,SH1302529.09FU,refs,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_antarctica,Mortierella_antarctica_SH1302529.09FU,soil_saprotroph,root-associated,roots,soil,filamentous_mycelium,,,
981,2212,Lopadostomataceae_sp,UDB03111540,SH1300135.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Lopadostomataceae,Lopadostomataceae_gen_Incertae_sedis,Lopadostomataceae_sp,Lopadostomataceae_sp_SH1300135.09FU,NA,NA,NA,NA,,,,
982,2213,Leotiomycetes_sp,UDB0619431,SH1197853.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_ord_Incertae_sedis,Leotiomycetes_fam_Incertae_sedis,Leotiomycetes_gen_Incertae_sedis,Leotiomycetes_sp,Leotiomycetes_sp_SH1197853.09FU,NA,NA,NA,NA,,,,
983,2215,Humicola_sp,UDB03425985,SH0881656.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_sp,Humicola_sp_SH0881656.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
984,2218,Fungi_sp,UDB040868,SH1192270.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1192270.09FU,NA,NA,NA,NA,,,,
985,2219,Fungi_sp,UDB0258920,SH1191797.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1191797.09FU,NA,NA,NA,NA,,,,
986,2220,Fungi_sp,UDB0223148,SH1111037.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1111037.09FU,NA,NA,NA,NA,,,,
987,2222,Fungi_sp,UDB02172665,SH1324296.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1324296.09FU,NA,NA,NA,NA,,,,
988,2223,Fungi_sp,UDB02145894,SH1116511.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1116511.09FU,NA,NA,NA,NA,,,,
989,2224,Fungi_sp,UDB02145263,SH1172693.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1172693.09FU,NA,NA,NA,NA,,,,
990,2258,Endogonomycetes_sp,UDB05311858,SH1126786.09FU,reps,Fungi,Mucoromycota,Endogonomycetes,Endogonomycetes_ord_Incertae_sedis,Endogonomycetes_fam_Incertae_sedis,Endogonomycetes_gen_Incertae_sedis,Endogonomycetes_sp,Endogonomycetes_sp_SH1126786.09FU,NA,NA,NA,NA,,,,
991,2260,Conlarium_sacchari,UDB04127598,SH0953391.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Atractosporales,Conlariaceae,Conlarium,Conlarium_sacchari,Conlarium_sacchari_SH0953391.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
992,2261,Coniothyrium_palmicola,JX363005,SH0949278.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium_palmicola,Coniothyrium_palmicola_SH0949278.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,wood,filamentous_mycelium,,,
993,2262,Coniochaeta_verticillata,MH860369,SH1462812.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_verticillata,Coniochaeta_verticillata_SH1462812.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
994,2263,Coniochaeta_sp,UDB04075225,SH0905952.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_sp,Coniochaeta_sp_SH0905952.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
995,2275,Chaetomiaceae_sp,KU141378,SH0881877.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomiaceae_gen_Incertae_sedis,Chaetomiaceae_sp,Chaetomiaceae_sp_SH0881877.09FU,NA,NA,NA,NA,,,,
996,2288,Ceratobasidium_sp,UDB01688917,SH1263128.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_sp,Ceratobasidium_sp_SH1263128.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,filamentous_mycelium,,
997,2290,Calvatia_fragilis,AJ486957,SH1464228.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia_fragilis,Calvatia_fragilis_SH1464228.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
998,2292,Aspergillus_viridinutans,EF669978,SH1935488.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_viridinutans,Aspergillus_viridinutans_SH1935488.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
999,2294,Ascobolus_sp,UDB01331114,SH0932442.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_sp,Ascobolus_sp_SH0932442.09FU,litter_saprotroph,dung_saprotroph,leaf/fruit/seed,dung,filamentous_mycelium,,,
1000,2298,Agaricus_campestris,JQ903618,SH3745643.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_campestris,Agaricus_campestris_SH3745643.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
1001,2303,Spizellomycetales_sp,UDB07391877,SH1201314.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1201314.09FU,NA,NA,NA,NA,,,,
1002,2304,Tremellodendropsidales_sp,UDB06408235,SH1308585.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,Tremellodendropsidales_fam_Incertae_sedis,Tremellodendropsidales_gen_Incertae_sedis,Tremellodendropsidales_sp,Tremellodendropsidales_sp_SH1308585.09FU,NA,NA,NA,NA,,,,
1003,2306,Rhizophydiales_sp,UDB02295172,SH1211914.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1211914.09FU,NA,NA,NA,NA,,,,
1004,2307,Dichotomopilus_pratensis,GU563372,SH0881501.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_pratensis,Dichotomopilus_pratensis_SH0881501.09FU,unspecified_saprotroph,NA,NA,filamentous_mycelium,,,,
1005,2312,Helotiales_sp,UDB0665563,SH0975705.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Helotiales_sp_SH0975705.09FU,NA,NA,NA,NA,,,,
1006,2318,Basidiomycota_sp,UDB01503998,SH1178212.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1178212.09FU,NA,NA,NA,NA,,,,
1007,2320,Agaricales_sp,UDB03893539,SH1263875.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,Agaricales_sp_SH1263875.09FU,NA,NA,NA,NA,,,,
