,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,decay_type,growth_form,,,,
69,92,Basidiomycota_sp,UDB01500186,SH1118189.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1118189.09FU,NA,NA,NA,NA,,,,
70,93,Ustilago_nunavutica,KF381025,SH1089538.09FU,refs,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_nunavutica,Ustilago_nunavutica_SH1089538.09FU,plant_pathogen,NA,NA,dimorphic_yeast,,,,
71,94,Tremellomycetes_sp,UDB082778,SH1034210.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Tremellomycetes_ord_Incertae_sedis,Tremellomycetes_fam_Incertae_sedis,Tremellomycetes_gen_Incertae_sedis,Tremellomycetes_sp,Tremellomycetes_sp_SH1034210.09FU,NA,NA,NA,NA,,,,
72,96,Stemphylium_trifolii,KU850647,SH1346065.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_trifolii,Stemphylium_trifolii_SH1346065.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,filamentous_mycelium,,,,
73,97,Spizellomycetales_sp,UDB07382333,SH1111728.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1111728.09FU,NA,NA,NA,NA,,,,
74,98,Septoglomus_viscosum,UDB06942199,SH0939998.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,Septoglomus_viscosum,Septoglomus_viscosum_SH0939998.09FU,arbuscular_mycorrhizal,root-associated,NA,filamentous_mycelium,,,,
75,100,Rhodotorula_sp,UDB06553008,SH1294870.09FU,reps,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_sp,Rhodotorula_sp_SH1294870.09FU,unspecified_saprotroph,foliar_endophyte,NA,yeast,,,,
76,101,Rhizophlyctis_rosea,UDB06413622,SH1067658.09FU,reps,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea,Rhizophlyctis_rosea_SH1067658.09FU,litter_saprotroph,algal_parasite,leaf/fruit/seed,algal_material,zoosporic-rhizomycelial_(chytrid-like),,,
77,102,Pseudogymnoascus_appendiculatus,KJ755523,SH2575709.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_appendiculatus,Pseudogymnoascus_appendiculatus_SH2575709.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
78,103,Paraphaeosphaeria_sporulosa,UDB03682713,SH1068174.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Paraphaeosphaeria_sporulosa,Paraphaeosphaeria_sporulosa_SH1068174.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
79,104,Microbotryomycetes_sp,UDB06553329,SH1294808.09FU,reps,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Microbotryomycetes_fam_Incertae_sedis,Microbotryomycetes_gen_Incertae_sedis,Microbotryomycetes_sp,Microbotryomycetes_sp_SH1294808.09FU,NA,NA,NA,NA,,,,
80,106,Melanospora_damnosa,KP981478,SH1106524.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Melanosporales,Melanosporaceae,Melanospora,Melanospora_damnosa,Melanospora_damnosa_SH1106524.09FU,mycoparasite,dung_saprotroph,fungal_material,dung,filamentous_mycelium,,,
81,107,Linnemannia_amoeboidea,HQ630346,SH2088875.09FU,refs,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,Linnemannia_amoeboidea,Linnemannia_amoeboidea_SH2088875.09FU,unspecified_saprotroph,NA,NA,NA,,,,
82,115,Cadophora_gregata,MH856781,SH3123052.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,Cadophora_gregata,Cadophora_gregata_SH3123052.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,filamentous_mycelium,,,,
