"","plot","type","time","rotation","sample_id","rep","sampling_date","tin.num","Tin.mass","Wet.mass","Dry.mass","percent_wc","dna_extraction_date","Set","R1.Mass","R1.Conc","R2.Mass","R2.Conc","R3.Mass","R3.Conc","Notes","pcr1_euk_date","Successes","Conc.ng.ul","pcr2_euk_date","Euk.BC.Well","Conc.","pcr1_bac_date","Successes.1","Conc..1","pcr2_bac_date","Bac.BC.Well","Conc..2","bacteria_barcode","week","DNA_ng.ul"
"35",220,"bulk",2,"CS","T2U4",2,"7/9/2021",4,27.63,43.73,42.13,0.110344828,"12/1/2021",13,0.25,105,0.25,103.826,0.25,105,NA,"2/3/2021",3,104.6086667,"2/5/2021","BC39",10.414,"2/22/2022",3,6.713,"3/2/2022","BC39",13.577,"barcode39",2,104.608666666667
"36",220,"bulk",3,"CS","T3U4",2,"7/23/2021",4,27.63,53.27,50.99,0.09760274,"11/3/2021",7,0.25,105,0.25,105,0.25,105,NA,"2/3/2021",3,105,"2/5/2021","BC40",10.5,"2/22/2022",3,5.746,"3/2/2022","BC40",13.577,"barcode40",4,105
"37",220,"bulk",4,"CS","T4U4",2,"8/20/2021",12,29.34,39.9,38.31,0.177257525,"11/5/2021",9,0.25,103.023,0.25,105,0.25,105,NA,"2/3/2021",3,104.341,"2/5/2021","BC41",10.5,"2/22/2022",3,5.728,"3/2/2022","BC41",16.756,"barcode41",8,104.341
"38",220,"bulk",5,"CS","T5U4",2,"9/17/2021",12,29.34,41.53,39.31,0.222668004,"11/3/2021",7,0.25,102.174,0.25,105,0.25,89.969,NA,"2/3/2021",2,99.04766667,"2/5/2021","BC42",10.5,"2/22/2022",3,5.281,"3/2/2022","BC42",10.398,"barcode42",12,99.0476666666667
"39",220,"bag",1,"CS","T1A4",2,"7/2/2021",12,29.36,38.1,37.41,0.085714286,"12/6/2021",14,0.25,13.017,0.25,15.582,0.25,11.478,NA,"2/3/2021",3,13.359,"2/5/2021","BC43",10.5,"2/22/2022",3,5.56,"3/2/2022","BC43",13.68,"barcode43",1,13.359
"40",220,"bag",2,"CS","T2A4",2,"7/9/2021",12,29.36,38.06,37.38,0.08478803,"11/2/2021",6,0.25,15.791,0.25,18.285,0.25,14.534,NA,"2/3/2021",3,16.20333333,"2/5/2021","BC44",10.5,"2/22/2022",3,6.965,"3/2/2022","BC44",14.919,"barcode44",2,16.2033333333333
"41",220,"bag",3,"CS","T3A4",2,"7/23/2021",12,29.35,42.95,42.23,0.055900621,"11/1/2021",4,0.25,17.376,0.25,22.632,0.25,14.951,NA,"2/3/2021",3,18.31966667,"2/5/2021","BC45",10.5,"2/22/2022",3,7.492,"3/2/2022","BC45",13.06,"barcode45",4,18.3196666666667
"42",220,"bag",4,"CS","T4A4",2,"8/20/2021",4,27.63,39.41,37.97,0.13926499,"11/2/2021",5,0.25,19.921,0.25,18.126,0.25,18.198,NA,"2/3/2021",3,18.74833333,"2/5/2021","BC46",10.5,"2/22/2022",3,6.087,"3/2/2022","BC46",13.473,"barcode46",8,18.7483333333333
"43",220,"bag",5,"CS","T5A4",2,"9/17/2021",4,27.64,42.06,40.04,0.162903226,"10/9/2021",3,0.25,16.044,0.25,17.265,0.25,18.629,NA,"2/3/2021",3,17.31266667,"2/5/2021","BC47",10.5,"2/22/2022",3,6.204,"3/2/2022","BC47",12.647,"barcode47",12,17.3126666666667
"44",323,"bulk",0,"CSSwP","T0U5",3,"6/25/2021",5,36.49,50.45,49.28,0.091477717,"9/28/2021",1,0.25,87.286,0.25,101.476,0.25,105,NA,"2/3/2021",3,97.92066667,"2/5/2021","BC49",10.5,"2/22/2022",3,6.176,"3/2/2022","BC49",12.517,"barcode49",0,97.9206666666667
"45",323,"bulk",1,"CSSwP","T1U5",3,"7/2/2021",5,36.46,48.42,47.25,0.108433735,"12/6/2021",14,0.25,73.7,0.25,104.766,0.25,105,NA,"2/3/2021",3,94.48866667,"2/5/2021","BC50",9.811,"2/22/2022",3,4.958,"3/2/2022","BC50",9.338,"barcode50",1,94.4886666666667
"46",323,"bulk",2,"CSSwP","T2U5",3,"7/9/2021",5,36.44,50.43,49.34,0.084496124,"12/1/2021",13,0.25,97.589,0.25,105,0.25,99.555,NA,"2/3/2021",3,100.7146667,"2/5/2021","BC51",10.5,"2/22/2022",3,6.892,"3/2/2022","BC51",12.252,"barcode51",2,100.714666666667
"47",323,"bulk",3,"CSSwP","T3U5",3,"7/23/2021",5,36.47,61.67,59.58,0.09043704,"11/5/2021",9,0.25,99.004,0.25,98.656,0.25,105,NA,"2/3/2021",3,100.8866667,"2/5/2021","BC52",10.5,"2/22/2022",3,5.012,"3/2/2022","BC52",15.961,"barcode52",4,100.886666666667
"48",323,"bulk",4,"CSSwP","T4U5",3,"8/20/2021",13,36.37,46.43,44.87,0.183529412,"11/2/2021",6,0.25,73.417,0.25,102.416,0.25,77.674,NA,"2/3/2021",3,84.50233333,"2/5/2021","BC53",10.5,"2/22/2022",3,4.994,"3/2/2022","BC53",8.543,"barcode53",8,84.5023333333333
"49",323,"bulk",5,"CSSwP","T5U5",3,"9/17/2021",13,36.37,48.78,46.71,0.200193424,"11/4/2021",8,0.25,91.645,0.25,86.847,0.25,90.177,NA,"2/3/2021",2,89.55633333,"2/5/2021","BC54",10.5,"2/22/2022",3,4.493,"3/2/2022","BC54",12.252,"barcode54",12,89.5563333333333
"50",323,"bag",1,"CSSwP","T1A5",3,"7/2/2021",13,36.37,43.96,43.59,0.051246537,"10/8/2021",2,0.25,9.337,0.25,10.882,0.25,7.796,NA,"2/3/2021",3,9.338333333,"2/5/2021","BC55",10.5,"2/22/2022",3,5.95,"3/2/2022","BC55",12.647,"barcode55",1,9.33833333333333
"51",323,"bag",2,"CSSwP","T2A5",3,"7/9/2021",13,36.39,45.07,44.6,0.057247259,"11/8/2021",10,0.25,11.772,0.25,14.114,0.25,10.158,NA,"2/3/2021",3,12.01466667,"2/5/2021","BC56",10.5,"2/22/2022",3,6.223,"3/2/2022","BC56",12.44,"barcode56",2,12.0146666666667
"52",323,"bag",3,"CSSwP","T3A5",3,"7/23/2021",13,36.38,45.99,45.53,0.050273224,"11/1/2021",4,0.25,19.017,0.25,23.925,0.25,13.561,NA,"2/3/2021",3,18.83433333,"2/5/2021","BC57",10.5,"2/22/2022",3,7.667,"3/2/2022","BC57",13.886,"barcode57",4,18.8343333333333
"53",323,"bag",4,"CSSwP","T4A5",3,"8/20/2021",5,36.47,46.65,45.37,0.143820225,"11/2/2021",6,0.25,20.855,0.25,21.214,0.25,23.799,NA,"2/3/2021",3,21.956,"2/5/2021","BC58",10.5,"2/22/2022",3,6.692,"3/2/2022","BC58",20.704,"barcode58",8,21.956
"54",323,"bag",5,"CSSwP","T5A5",3,"9/17/2021",5,36.46,49.86,47.8,0.181657848,"12/15/2021",17,0.25,26.814,0.25,24.588,0.25,23.655,NA,"2/3/2021",3,25.019,"2/5/2021","BC59",10.5,"2/22/2022",3,6.184,"3/2/2022","BC59",12.027,"barcode59",12,25.019
"55",332,"bulk",0,"CS","T0U6",3,"6/25/2021",6,27.66,42,40.56,0.111627907,"9/28/2021",1,0.25,92.777,0.25,105,0.25,105,NA,"2/3/2021",3,100.9256667,"2/5/2021","BC61",10.5,"2/22/2022",3,7.268,"3/2/2022","BC61",7.219,"barcode61",0,100.925666666667
